stageId,rewardId,rewardType,rewardTargetId,amount,clearRewardMemory,firstClearRewardMemory,unlockBackgroundId,unlockMonsterId,unlockFeatureId,unlockMuseId,unlockSkinId,unlockCapsuleId,capsuleAmount,rewardText
stage-1,memory_500,memory,,500,500,500,,,,,,,,"Memory bonus"
stage-1,cozy_room,background,bg_cozy_room,,,,bg_cozy_room,,,,,,,"Unlock Cozy Room"
stage-2,lumi_pastel,skin,lumi_pastel,,,,,,,,lumi_pastel,,,"Unlock Lumi Pastel"
stage-2,astra,muse,astra,,,,,,,astra,,,,"Unlock Astra"
stage-3,neon_room,background,bg_neon_room,,,,bg_neon_room,,,,,,,"Unlock Neon Room"
stage-4,night_room,background,bg_night_room,,,,bg_night_room,,,,,,,"Unlock Night Room"
stage-4,noir,muse,noir,,,,,,,noir,,,,"Unlock Noir"
stage-5,vega,muse,vega,,,,,,,vega,,,,"Unlock Vega"
stage-6,memory_10000,memory,,10000,10000,10000,,,,,,,,"Memory bonus"
stage-7,astra_cyber,skin,astra_cyber,,,,,,,,astra_cyber,,,"Unlock Astra Cyber"
stage-7,pinball_neon,background,bg_pinball_neon,,,,bg_pinball_neon,,,,,,,"Unlock Pinball Neon"
stage-8,star_room,background,bg_star_room,,,,bg_star_room,,,,,,,"Unlock Star Room"
stage-9,muse_capsule_2,capsule,muse_capsule,2,,,,,,,,muse_capsule,2,"Muse Capsule reward"
stage-10,memory_100000,memory,,100000,100000,100000,,,,,,,,"Memory bonus"
